Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
"What are the characteristics of gp2 (General Purpose SSD) volumes?","IOPS and size are completely independent","Small gp2 volumes can burst IOPS to 3,000. Size and IOPS are linked (3 IOPS per GB), max IOPS is 16,000 at 5,334 GB","Maximum 1,000 IOPS","Only available up to 1 TiB","B","gp2: Small gp2 volumes can burst IOPS to 3,000. Size of the volume and IOPS are linked, max IOPS is 16,000. 3 IOPS per GB, means at 5,334 GB we are at the max IOPS. Cost effective storage, low-latency."
"What are Provisioned IOPS SSD (io1/io2) volumes best suited for?","General purpose workloads","Critical business applications with sustained IOPS performance, databases sensitive to storage performance and consistency","Archive storage","Temporary data storage","B","Provisioned IOPS SSD volumes are for critical business applications with sustained IOPS performance, or applications that need more than 16,000 IOPS. Great for databases workloads (sensitive to storage perf and consistency)."
"What is the maximum PIOPS for io1 volumes?","16,000 IOPS","64,000 IOPS for Nitro EC2 instances and 32,000 for other instances. Can increase PIOPS independently from storage size","32,000 IOPS for all instances","128,000 IOPS","B","io1 (4 GiB - 16 TiB): Max PIOPS: 64,000 for Nitro EC2 instances & 32,000 for other. Can increase PIOPS independently from storage size. Great for databases workloads."
"What is io2 Block Express?","A cheaper version of io1","Sub-millisecond latency, Max PIOPS: 256,000 with an IOPS:GiB ratio of 1,000:1, supports EBS Multi-attach (4 GiB - 64 TiB)","Same as io1 with different name","Only for boot volumes","B","io2 Block Express (4 GiB - 64 TiB): Sub-millisecond latency. Max PIOPS: 256,000 with an IOPS:GiB ratio of 1,000:1. Supports EBS Multi-attach. Highest performance EBS volume type."
"Which EBS volume types can be used as boot volumes?","All EBS volume types","Only gp2/gp3 and io1/io2 Block Express can be used as boot volumes","Only gp2 and io1","Only gp3","B","Only gp2/gp3 and io1/io2 Block Express can be used as boot volumes. st1 and sc1 HDD volumes cannot be boot volumes."
"What are Throughput Optimized HDD (st1) volumes used for?","Boot volumes and databases","Big Data, Data Warehouses, Log Processing. Cannot be a boot volume. 125 GiB to 16 TiB","General purpose applications","Archive storage","B","Throughput Optimized HDD (st1): Cannot be a boot volume. 125 GiB to 16 TiB. Big Data, Data Warehouses, Log Processing. Designed for frequently accessed, throughput-intensive workloads."
"What are Cold HDD (sc1) volumes used for?","Frequently accessed data","Less frequently accessed workloads. Cannot be a boot volume. 125 GiB to 16 TiB. Lowest cost HDD volume","Boot volumes","High performance applications","B","Cold HDD (sc1): Cannot be a boot volume. 125 GiB to 16 TiB. Lowest cost HDD volume designed for less frequently accessed workloads."
"What is EBS Multi-attach?","Attaching multiple volumes to one instance","io1/io2 Block Express feature allowing a single EBS volume to be attached to multiple EC2 instances in the same AZ","Attaching one volume to instances in different AZs","A backup feature","B","EBS Multi-attach allows a single EBS volume (io1/io2 Block Express) to be attached to multiple EC2 instances in the same AZ. Useful for applications that need shared storage with high availability."
"What is the difference between EBS and Instance Store regarding data persistence?","Both persist data after instance termination","EBS persists data after instance termination, Instance Store loses data when instance stops/terminates (ephemeral)","Both lose data when instance terminates","Instance Store persists, EBS doesn't","B","EBS volumes persist data even after instance termination. EC2 Instance Store lose their storage if they're stopped (ephemeral). Instance Store is good for buffer/cache/scratch data/temporary content."
"What is the performance difference between EBS and Instance Store?","EBS has higher IOPS","Instance Store provides better I/O performance (very high IOPS) as it's physically attached to the host","They have the same performance","Instance Store has lower latency but EBS has higher throughput","B","EBS volumes are network drives with good but limited performance. If you need high-performance hardware disk, use EC2 Instance Store. Better I/O performance. Instance Store provides very high IOPS (hundreds of thousands), very low latency, no network overhead."
"What is Amazon EFS (Elastic File System)?","A block storage service like EBS","A managed NFS (network file system) that can be mounted to multiple EC2 instances across multiple AZs. Linux only (POSIX)","A database service","A backup service","B","Amazon EFS is a managed file system that can be mounted to 100s of instances across AZs. EFS share website files. Only for Linux Instances (POSIX). EFS has a higher price point than EBS. Can leverage Storage Tiers for cost savings."
"What is the difference between EBS and EFS?","EFS is block storage, EBS is file storage","EBS is block storage (one instance, locked to AZ), EFS is file storage (multiple instances, multi-AZ, Linux POSIX)","They are the same","EBS is for Linux, EFS is for Windows","B","EBS volumes: one instance (except multi-attach io1/io2), are locked at the Availability Zone (AZ) level. EFS: Mounting 100s of instances across AZ, EFS share website files, Only for Linux Instances (POSIX), EFS has a higher price point than EBS."
"What are EFS Storage Tiers?","Only Standard tier exists","Standard (frequently accessed), Infrequent access (EFS-IA) - cost to retrieve, lower price to store, Archive - rarely accessed data, 50% cheaper","Only Standard and Archive","All tiers have the same price","B","EFS Storage Tiers: Standard (for frequently accessed files), Infrequent access (EFS-IA) - cost to retrieve files, lower price to store, Archive - rarely accessed data (few times each year), 50% cheaper. Implement lifecycle policies to move files between storage tiers."
"What are EFS Availability modes?","Only Multi-AZ","Standard: Multi-AZ, great for prod. One Zone: One AZ, great for dev, backup enabled by default, compatible with IA (EFS One Zone-IA)","Only One Zone","Standard and One Zone are the same","B","EFS Availability: Standard: Multi-AZ, great for prod. One Zone: One AZ, great for dev, backup enabled by default, compatible with IA (EFS One Zone-IA). Over 90% in cost savings with One Zone-IA."
"How do you migrate an EBS volume across Availability Zones?","Directly attach it to instances in the new AZ","Take a snapshot, then restore the snapshot to another AZ","Copy the volume using AWS CLI","EBS volumes cannot be moved across AZs","B","EBS volumes are locked to an Availability Zone (AZ). An EBS Volume in us-east-1a cannot be attached to us-east-1b. To migrate an EBS volume across AZ: Take a snapshot, Restore the snapshot to another AZ."
"What should you consider when taking EBS snapshots?","Snapshots can only be taken when instance is stopped","Not necessary to detach volume to do snapshot, but recommended. EBS backups use IO and you shouldn't run them while your application is handling a lot of traffic","Snapshots automatically pause the instance","Snapshots can only be taken once per day","B","EBS Snapshots: Not necessary to detach volume to do snapshot, but recommended. Can copy snapshots across AZ or Region. EBS backups use IO and you shouldn't run them while your application is handling a lot of traffic."
"What happens to EBS volumes when an EC2 instance is terminated?","All volumes are always preserved","Root EBS volumes get terminated by default if the EC2 instance gets terminated (you can disable that). Other attached volumes are preserved by default","All volumes are always deleted","Volumes are automatically backed up to S3","B","Root EBS Volumes of instances get terminated by default if the EC2 instance gets terminated (you can disable that). By default, any other attached EBS volume is not deleted (attribute disabled). This can be controlled by the AWS console / AWS CLI."
"What is the relationship between EBS volume size and IOPS for gp2 volumes?","IOPS and size are completely independent","Size of the volume and IOPS are linked - 3 IOPS per GB, max IOPS is 16,000 at 5,334 GB","IOPS is fixed at 3,000 regardless of size","Larger volumes always have lower IOPS","B","For gp2 volumes: Size of the volume and IOPS are linked, max IOPS is 16,000. 3 IOPS per GB, means at 5,334 GB we are at the max IOPS. Small gp2 volumes can burst IOPS to 3,000."
"What is the relationship between EBS volume size and IOPS for gp3 and io1/io2 volumes?","IOPS and size are always linked","gp3 & io1/io2: can increase IOPS independently from storage size","IOPS is always 3,000","Size determines IOPS automatically","B","For gp3 & io1/io2: can increase IOPS independently. gp2: IO increases if the disk size increases. gp3: Baseline of 3,000 IOPS, can increase up to 16,000 independently. io1/io2: Can increase PIOPS independently from storage size."

