Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
"What is the relationship between Auto Scaling Groups and Load Balancers?","Auto Scaling Groups and Load Balancers are independent services that cannot be integrated, requiring manual instance registration and health check configuration","Auto Scaling Groups can automatically register new instances with a Load Balancer when scaling out. The Load Balancer performs health checks on instances. If an instance fails health checks, the ASG can terminate and replace it. This integration ensures: New instances are automatically added to the load balancer, Unhealthy instances are automatically removed and replaced, Traffic is distributed across healthy instances, High availability is maintained across multiple AZs.","Load balancers can only be used with manually managed EC2 instances and cannot integrate with Auto Scaling Groups for automatic instance management","The integration between ASGs and Load Balancers requires manual configuration for each scaling event and cannot be automated","B","Auto Scaling Groups automatically register new instances to a load balancer. ELB can check the health of your EC2 instances. If instances fail health checks, the ASG can terminate and replace them, ensuring only healthy instances receive traffic."
"What are the benefits of deploying Load Balancers and Auto Scaling Groups across multiple Availability Zones?","Multi-AZ deployment increases costs without providing any availability or performance benefits compared to single-AZ deployments","Deploying across multiple Availability Zones provides: High Availability - if one AZ fails, traffic continues to other AZs, Fault Tolerance - automatic failover to healthy instances in other AZs, Better Performance - traffic distributed geographically, Compliance - meet requirements for multi-AZ deployments, Disaster Recovery - survive AZ-level failures. Load Balancers distribute traffic across AZs, and ASGs maintain capacity across multiple AZs.","Multi-AZ deployment is only available for Enterprise support plan customers and cannot be used with standard AWS accounts","Load balancers and ASGs can only operate within a single Availability Zone and cannot span multiple AZs for high availability","B","High Availability: Run instances for the same application across multi AZ. Auto Scaling Group multi AZ. Load Balancer multi AZ. This ensures availability if one AZ fails and provides better performance and fault tolerance."
"What is the difference between vertical scaling and horizontal scaling in the context of EC2?","Vertical and horizontal scaling are identical concepts that both refer to increasing instance capacity through the same methods","Vertical Scaling: Increase instance size (scale up/down) - From t2.nano (0.5G of RAM, 1 vCPU) to u-12tb1.metal (12.3 TB of RAM, 448 vCPUs). Horizontal Scaling: Increase number of instances (scale out/in) - Use Auto Scaling Group and Load Balancer. High Availability: Run instances for the same application across multi AZ using Auto Scaling Group multi AZ and Load Balancer multi AZ.","Vertical scaling requires manual intervention while horizontal scaling is always automatic, with no other differences in functionality or use cases","Scaling can only be performed vertically by upgrading instance types, as horizontal scaling through multiple instances is not supported by AWS","B","Vertical Scaling: Increase instance size (= scale up / down) - From: t2.nano - 0.5G of RAM, 1 vCPU; To: u-12tb1.metal – 12.3 TB of RAM, 448 vCPUs. Horizontal Scaling: Increase number of instances (= scale out / in) - Auto Scaling Group, Load Balancer."
"What are Launch Templates and how do they differ from Launch Configurations?","Launch Templates and Launch Configurations are identical with no functional differences, providing the same capabilities for ASG configuration","Launch Templates are the modern way to configure ASG instances (Launch Configurations are deprecated). Launch Templates provide: Versioning (can't modify, must create new version), Support for multiple instance types, Better integration with Auto Scaling and Spot Fleet, Parameter combinations, More flexibility than Launch Configurations. Launch Templates include: AMI, Instance Type, EC2 User Data, EBS Volumes, Security Groups, SSH Key Pair, IAM Roles, Network + Subnets.","Launch Templates can only be used with On-Demand instances while Launch Configurations are required for Reserved Instances and Spot Instances","Launch Templates require manual version management and cannot automatically track changes or maintain configuration history like Launch Configurations","B","A Launch Template (older Launch Configurations are deprecated) - AMI + Instance Type, EC2 User Data, EBS Volumes, Security Groups, SSH Key Pair, IAM Roles for your EC2 Instances, Network + Subnets Information, Load Balancer Information."
"What is the purpose of minimum, maximum, and desired capacity in an Auto Scaling Group?","These capacity settings are automatically determined by AWS and cannot be manually configured, as AWS optimizes capacity based on usage patterns","Minimum Capacity: The minimum number of instances that must always be running (ensures baseline availability). Maximum Capacity: The maximum number of instances that can be launched (prevents over-scaling and cost overruns). Desired Capacity: The target number of instances the ASG should maintain (can be between min and max). The ASG will launch or terminate instances to maintain the desired capacity.","Capacity settings only apply during business hours and are automatically disabled outside of scheduled operating times","Minimum and maximum capacity are fixed values that cannot be changed after ASG creation, while desired capacity can only be set manually for each scaling event","B","Auto Scaling Group Attributes: Min Size / Max Size / Initial Capacity. The ASG ensures we have a minimum and a maximum number of EC2 instances running. The ASG will scale to maintain the desired capacity between min and max."
"How do Load Balancer Security Groups work with EC2 instance Security Groups?","Security Groups are automatically configured by AWS with no manual setup required, and all traffic is allowed by default for maximum flexibility","Load Balancer Security Group: Allows inbound traffic from the internet (HTTP/HTTPS on ports 80/443). Application Security Group: Allows traffic only from the Load Balancer Security Group (restrict HTTP to Load Balancer). This creates a security layer where: Public traffic only reaches the Load Balancer, EC2 instances are not directly accessible from the internet, Traffic flows: Internet → Load Balancer → EC2 Instances.","Load balancer and EC2 security groups must have identical rules, as they cannot be configured independently for different security requirements","Security groups can only be applied at the VPC level and cannot be attached to individual load balancers or EC2 instances for granular access control","B","Load Balancer Security Group: Allow traffic from anywhere. Application Security Group: Allow traffic only from Load Balancer. This ensures EC2 instances are not directly exposed to the internet and traffic flows through the load balancer."
"What is the difference between internal and external (public) Load Balancers?","Internal and external load balancers provide identical functionality with no differences in security, performance, or configuration options","Internal Load Balancers: Have private IP addresses, can only be accessed from within the VPC or connected networks, used for internal applications, provide private access to backend services. External (Public) Load Balancers: Have public IP addresses, can be accessed from the internet, used for internet-facing applications, provide public access. Some load balancers can be setup as internal (private) or external (public) ELBs.","Internal load balancers can only be used with private subnets while external load balancers can only be used with public subnets, with no flexibility in deployment","Load balancers are automatically configured as external by default and cannot be changed to internal after creation, requiring complete recreation for private access","B","Some load balancers can be setup as internal (private) or external (public) ELBs. Internal load balancers have private IPs and are only accessible from within the VPC. External load balancers have public IPs and are accessible from the internet."
"What are Target Groups in the context of Application Load Balancers?","Target Groups are automatically created by AWS and cannot be manually configured, with all instances automatically added to a single default target group","Target Groups are used by Application Load Balancers to route traffic to registered targets (EC2 instances, IP addresses, Lambda functions, containers). Features: Health checks are performed at the target group level, Different target groups can have different health check settings, ALB can route to multiple target groups based on rules (path-based, host-based, content-based routing), Target groups enable advanced routing capabilities beyond simple round-robin.","Target Groups can only contain EC2 instances and cannot include other target types like IP addresses, Lambda functions, or containers","Target Groups are only used for Network Load Balancers and cannot be used with Application Load Balancers or Classic Load Balancers","B","Application Load Balancer (ALB) operates at Layer 7 (HTTP/HTTPS), load balancing to multiple HTTP applications across machines (target groups), load balancing to multiple applications on the same machine. Target groups enable content-based routing and advanced load balancing features."
"What is Sticky Sessions (Session Affinity) in Load Balancers?","Sticky sessions are automatically enabled for all load balancers and cannot be disabled, ensuring all user sessions always connect to the same instance","Sticky Sessions (Session Affinity) enable the load balancer to bind a user's session to a specific instance. This ensures that all requests from the same user are sent to the same instance. Useful for: Applications that store session data locally, Applications requiring consistent user experience, Cookie-based or duration-based stickiness. Can be enabled/disabled and configured with cookie expiration time.","Sticky sessions can only be used with Classic Load Balancers and are not available for Application Load Balancers or Network Load Balancers","Session affinity requires manual configuration for each user session and cannot be automatically managed by the load balancer","B","Sticky Sessions enable the load balancer to bind a user's session to a specific instance. Enforce stickiness with cookies. This ensures consistent routing for session-based applications."
"What happens when an Auto Scaling Group scales out or scales in?","Scaling actions require manual approval and cannot be automatically executed, ensuring administrators have full control over instance changes","When ASG scales out: New EC2 instances are launched based on the Launch Template, Instances are automatically registered with the Load Balancer (if configured), Health checks begin on new instances, Instances become available to receive traffic once healthy. When ASG scales in: Instances are selected for termination (oldest instance or based on policy), Connection draining begins (stops new connections), In-flight requests complete, Instance is deregistered from Load Balancer, Instance is terminated.","Scaling out automatically terminates existing instances while scaling in launches new instances, with the processes being reversed from their names","Auto Scaling Groups can only scale during scheduled maintenance windows and cannot automatically respond to real-time demand changes","B","Auto Scaling Groups automatically register new instances to a load balancer. When scaling in, connection draining ensures in-flight requests complete before termination. The ASG re-creates an EC2 instance in case a previous one is terminated (ex: if unhealthy)."
"What is the difference between Simple Scaling and Step Scaling policies in Auto Scaling?","Simple Scaling and Step Scaling are identical policies that provide the same scaling behavior with no functional differences","Simple Scaling: When a CloudWatch alarm is triggered, add or remove a fixed number of instances. Example: If CPU > 70%, add 2 instances. Step Scaling: More advanced - adds or removes instances in steps based on how far the metric is beyond the threshold. Example: If CPU > 70%, add 2 instances; If CPU > 85%, add 5 instances. Step scaling provides more granular control and can respond differently to different levels of metric breach.","Simple Scaling can only be used with CPU metrics while Step Scaling requires custom metrics, limiting their applicability to different use cases","Scaling policies are automatically configured by AWS and cannot be customized or modified by users, providing fixed scaling behavior for all ASGs","B","Simple / Step Scaling: When a CloudWatch alarm is triggered (example CPU > 70%), then add 2 units; When a CloudWatch alarm is triggered (example CPU < 30%), then remove 1. Step scaling provides more granular control based on how far the metric is beyond the threshold."
"What is Predictive Scaling in Auto Scaling Groups?","Predictive Scaling requires manual forecasting and cannot automatically predict future demand or schedule scaling actions ahead of time","Predictive Scaling continuously forecasts load and schedules scaling ahead. It uses machine learning to analyze historical metrics and predict future demand patterns. Benefits: Proactive scaling before demand increases, Better cost optimization, Reduced latency during traffic spikes, Automatic adjustment based on patterns. Works alongside other scaling policies (Target Tracking, Step Scaling) to provide optimal scaling behavior.","Predictive Scaling can only predict scaling needs for the next hour and cannot forecast longer-term demand patterns or seasonal variations","Predictive scaling is only available for Enterprise support plan customers and requires additional licensing fees to enable machine learning capabilities","B","Predictive scaling: continuously forecast load and schedule scaling ahead. This uses machine learning to analyze historical patterns and proactively scale before demand increases."
"What are the cost implications of using Load Balancers and Auto Scaling Groups?","Load balancers and Auto Scaling Groups have fixed monthly fees regardless of usage, making them expensive for low-traffic applications","Load Balancers: You pay for the load balancer service (hourly charge) and data processing. Auto Scaling Groups: ASGs are free (you only pay for the underlying EC2 instances). Cost benefits: Right-size instances based on demand (scale in when not needed), Use Reserved Instances for baseline capacity (minimum capacity), Use Spot Instances for cost savings where appropriate, Optimize by scaling down during low-traffic periods.","Both services require upfront payment and long-term commitments, with no pay-as-you-go pricing or cost optimization options available","Load balancer and ASG costs are automatically included in EC2 instance pricing with no separate charges, making them free to use","B","ASG are free (you only pay for the underlying EC2 instances). Load balancers have hourly charges and data processing costs. Cost optimization: Use Reserved Instances for minimum capacity, scale down during low-traffic periods, right-size instances based on demand."
"How do you ensure high availability when using Load Balancers and Auto Scaling Groups?","High availability is automatically provided by AWS with no configuration required, as all load balancers and ASGs are inherently highly available","High Availability Best Practices: Deploy across multiple Availability Zones (minimum 2, preferably 3+), Configure Load Balancer to distribute traffic across AZs, Configure ASG to maintain instances across multiple AZs, Enable health checks on both Load Balancer and ASG, Use connection draining to gracefully handle instance removal, Set appropriate minimum capacity to ensure baseline availability, Monitor with CloudWatch alarms, Test failover scenarios regularly.","High availability can only be achieved by deploying infrastructure in on-premises data centers, as cloud-based deployments inherently have single points of failure","Load balancers and ASGs can only operate within a single Availability Zone and cannot span multiple AZs for high availability or disaster recovery","B","High Availability: Run instances for the same application across multi AZ. Auto Scaling Group multi AZ. Load Balancer multi AZ. This ensures availability if one AZ fails and provides automatic failover."
"What is the relationship between Route 53 and Load Balancers?","Route 53 and Load Balancers are independent services that cannot be integrated, requiring manual DNS configuration and traffic routing","Route 53 can be used with Load Balancers by creating an Alias record pointing to the Load Balancer. Benefits: Use friendly DNS names instead of Load Balancer hostnames, Health checks at DNS level, Automatic failover, Global routing with latency-based routing, Integration with CloudFront for content delivery. Route 53 Alias records are free and provide better performance than CNAME records.","Route 53 can only be used with Classic Load Balancers and cannot integrate with Application Load Balancers or Network Load Balancers","DNS configuration requires manual updates for each scaling event and cannot be automatically synchronized with Load Balancer changes","B","Route 53 can create Alias records pointing to Load Balancers. This provides friendly DNS names, health checks, automatic failover, and better integration than using Load Balancer hostnames directly."
"What are the key differences between Classic Load Balancer (CLB) and Application Load Balancer (ALB)?","CLB and ALB are identical load balancers with the same features, performance, and capabilities, making them interchangeable","Classic Load Balancer (CLB): Legacy load balancer (v1, 2009), Supports HTTP, HTTPS, TCP, SSL (secure TCP), Fixed hostname (XXX.region.elb.amazonaws.com), Health checks are TCP or HTTP based, Less features than newer generation. Application Load Balancer (ALB): Modern load balancer (v2, 2016), Supports HTTP, HTTPS, WebSocket, Layer 7 (application layer), Content-based routing, Path-based routing, Host-based routing, Target groups, SSL termination, Container support, More advanced features.","CLB can only be used with EC2 instances while ALB can only be used with container services, limiting their applicability to different deployment types","Classic Load Balancers provide better performance and more features than Application Load Balancers, making CLB the recommended choice for all use cases","B","Classic Load Balancer (v1 - old generation) – 2009 – CLB - HTTP, HTTPS, TCP, SSL (secure TCP). Application Load Balancer (v2 - new generation) – 2016 – ALB - HTTP, HTTPS, WebSocket. Overall, it is recommended to use the newer generation load balancers as they provide more features."
"What is Gateway Load Balancer (GWLB) and when should it be used?","Gateway Load Balancer is identical to Network Load Balancer with no functional differences, making the choice purely based on pricing","Gateway Load Balancer (GWLB) - 2020, operates at layer 3 (Network layer - IP Protocol). Used for: Deploying, scaling, and managing third-party virtual appliances (firewalls, intrusion detection, deep packet inspection), Transparent network gateway, Single entry/exit point for all traffic, Simplifies management of security appliances. GWLB provides a way to insert third-party virtual network appliances into the traffic path.","Gateway Load Balancers can only be used for HTTP and HTTPS traffic and cannot handle TCP, UDP, or other network protocols","GWLB requires manual configuration of all network appliances and cannot automatically scale or manage third-party virtual appliances","B","Gateway Load Balancer – 2020 – GWLB. Operates at layer 3 (Network layer) – IP Protocol. Used for deploying and managing third-party virtual network appliances."
"How do Auto Scaling Groups handle instance termination and replacement?","Instance termination requires manual approval and cannot be automatically performed by ASGs, ensuring administrators have full control","Auto Scaling Groups automatically handle instance termination and replacement: If an instance fails health checks, ASG terminates it and launches a replacement, If an instance is manually terminated, ASG detects it and launches a replacement to maintain desired capacity, During scale-in events, ASG selects instances for termination (oldest or based on policy), Connection draining ensures graceful termination, New instances are automatically configured and registered with Load Balancer.","ASGs can only terminate instances during scheduled maintenance windows and cannot automatically replace failed or unhealthy instances in real-time","Instance replacement requires manual intervention and cannot be automatically managed by Auto Scaling Groups, limiting their effectiveness for maintaining availability","B","Auto Scaling Groups re-create an EC2 instance in case a previous one is terminated (ex: if unhealthy). The ASG ensures we have a minimum and a maximum number of EC2 instances running, automatically replacing failed instances."
"What are the best practices for configuring Auto Scaling Groups in production?","ASG configuration is automatically optimized by AWS with no manual tuning required, as AWS determines optimal settings based on application type","Auto Scaling Group Best Practices: Deploy across multiple Availability Zones (minimum 2-3 AZs), Set appropriate minimum/maximum/desired capacity based on workload, Use Launch Templates (not Launch Configurations), Configure health checks (both ELB and EC2 health checks), Set up CloudWatch alarms and scaling policies, Use connection draining for graceful scale-in, Enable detailed monitoring, Test scaling policies and failover scenarios, Use appropriate instance types, Implement proper security groups, Monitor costs and optimize capacity.","Best practices can only be applied to development environments and cannot be used in production due to performance and cost constraints","Auto Scaling Groups require identical configuration for all environments and cannot be customized for production-specific requirements","B","Best practices include: Multi-AZ deployment, appropriate capacity settings, Launch Templates, health checks, CloudWatch integration, connection draining, monitoring, and testing. These ensure high availability, cost optimization, and proper scaling behavior."


