Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
"What is an AWS VPC and what level of network control does it provide?","A global network service that automatically routes traffic between AWS services without any configuration required","A logically isolated network where you launch AWS resources with complete control over IP ranges, subnets, route tables, and network gateways for private networking and network segmentation","A content delivery network that caches content at edge locations worldwide to reduce latency for end users","A domain name system service that routes internet traffic to AWS resources using various routing policies like weighted and latency-based routing","B","AWS VPC (Virtual Private Cloud) is a logically isolated network where you launch AWS resources. Features: complete control over IP ranges, subnets, route tables, network gateways. Enables private networking and network segmentation for security."
"What is AWS CloudFormation and how does it enable Infrastructure as Code?","A deployment service that automatically deploys application code to EC2 instances with zero downtime using blue-green deployments","A service that enables Infrastructure as Code using JSON/YAML templates to provision and manage resources with benefits: reproducible infrastructure, version control, automated deployments, rollback capability","A monitoring service that tracks AWS resource configurations and sends alerts when changes are detected, ensuring compliance with organizational policies","A backup service that automatically creates snapshots of AWS resources on a schedule and stores them in S3 with lifecycle management policies","B","AWS CloudFormation enables Infrastructure as Code (IaC). You define resources in JSON/YAML templates, and CloudFormation provisions and manages them. Benefits: reproducible infrastructure, version control, automated deployments, rollback capability."
"What is AWS Elastic Beanstalk and what types of applications benefit most from it?","A container orchestration service that manages Docker containers and Kubernetes clusters with automatic scaling and load balancing","A Platform as a Service (PaaS) that handles deployment, capacity provisioning, load balancing, and auto-scaling automatically. Best for web applications, quick deployments, and minimal infrastructure management","A serverless compute service that runs code in response to events without provisioning or managing servers, ideal for event-driven applications","A database service that provides managed relational databases with automatic backups, patching, and high availability across multiple Availability Zones","B","AWS Elastic Beanstalk is a Platform as a Service (PaaS) that handles deployment, capacity provisioning, load balancing, auto-scaling, and application health monitoring. You just upload code. Best for: web applications, quick deployments, minimal infrastructure management."
"What services work with AWS Auto Scaling and what can trigger scaling events?","Only EC2 instances with triggers limited to CPU utilization and network traffic metrics","EC2, ECS, DynamoDB, and Aurora. Triggers include CloudWatch metrics (CPU, network, custom), scheduled scaling, and predictive scaling","Only Lambda functions with triggers based on the number of incoming requests and execution duration","Only S3 buckets with triggers based on storage size and number of objects stored in each bucket","B","AWS Auto Scaling automatically adjusts capacity to maintain performance at the lowest cost. It works with EC2, ECS, DynamoDB, and Aurora. Triggers include: CloudWatch metrics (CPU, network, custom), scheduled scaling, and predictive scaling."
"What are the key features of Amazon CloudWatch for monitoring AWS resources?","Only real-time metrics collection with 1-minute granularity and automatic alerting when thresholds are exceeded","Metrics (performance data), logs (application logs), alarms (notifications/actions), and dashboards (visualization) for real-time monitoring of AWS resources and applications","Only log aggregation and search capabilities with retention periods up to 30 days and integration with third-party log analysis tools","Only cost tracking and billing alerts that notify you when spending exceeds budget thresholds with detailed cost breakdowns by service","B","Amazon CloudWatch is a monitoring and observability service. Features: metrics (performance data), logs (application logs), alarms (notifications/actions), dashboards (visualization). It monitors AWS resources and applications in real-time."
"What is Amazon Route 53 and what routing policies does it support?","A content delivery network that caches content at edge locations worldwide and routes users to the nearest cache based on geographic location","A scalable DNS web service with functions: domain registration, DNS routing, health checks, traffic management. Routing policies: Simple, Weighted, Latency-based, Failover, Geolocation, Multi-value","A load balancing service that distributes incoming application traffic across multiple EC2 instances in different Availability Zones for high availability","A network acceleration service that uses AWS global network infrastructure to improve performance for applications by routing traffic over private AWS network","B","Amazon Route 53 is a scalable DNS web service. Functions: domain registration, DNS routing, health checks, traffic management. Routing policies: Simple, Weighted, Latency-based, Failover, Geolocation, Multi-value."
"What are Security Groups and what are their key characteristics regarding traffic rules?","Physical firewalls that are deployed at data center level and control all network traffic entering and leaving AWS facilities","Virtual firewalls for EC2 instances that are stateful (allow inbound automatically allows outbound response), operate at instance level, default deny all inbound, allow all outbound","Network access control lists that operate at the subnet level and provide stateless filtering of traffic with explicit allow and deny rules","Load balancers that distribute incoming traffic across multiple instances and perform health checks to ensure only healthy instances receive traffic","B","Security Groups are virtual firewalls for EC2 instances. Key characteristics: stateful (allow inbound automatically allows outbound response), operate at instance level, default deny all inbound, allow all outbound. Rules control traffic by protocol, port, and source/destination."
"What are the three types of Elastic Load Balancers in AWS and when should each be used?","Only Application Load Balancer and Network Load Balancer, with Classic Load Balancer being deprecated","Application Load Balancer (ALB) for HTTP/HTTPS Layer 7, Network Load Balancer (NLB) for TCP/UDP Layer 4 high performance, Classic Load Balancer (CLB) legacy. ALB supports content-based routing, SSL termination, container targets","Only Gateway Load Balancer for Layer 3 IP protocol traffic routing to third-party security appliances like firewalls and intrusion detection systems","All load balancers are identical in functionality, with the only difference being the pricing model and regional availability","B","AWS offers three load balancer types: Application Load Balancer (ALB) for HTTP/HTTPS Layer 7, Network Load Balancer (NLB) for TCP/UDP Layer 4 high performance, Classic Load Balancer (CLB) legacy. ALB supports content-based routing, SSL termination, and container targets."
"How do Auto Scaling Groups work with Elastic Load Balancing to provide high availability?","Auto Scaling Groups only manage instance lifecycle, while Load Balancers handle all traffic distribution and health checking independently","Auto Scaling Groups ensure correct number of instances; ELB distributes traffic across healthy instances, replaces unhealthy ones, scales based on demand, maintains minimum/maximum/desired capacity","Auto Scaling Groups automatically create Load Balancers for each group, but they cannot be configured separately and must use default settings","Load Balancers are required only for public-facing applications, while Auto Scaling Groups work independently for internal applications without any integration","B","Auto Scaling Groups ensure the correct number of EC2 instances are running. They work with ELB to: distribute traffic across healthy instances, replace unhealthy instances, scale based on demand, maintain minimum/maximum/desired capacity."
"What recommendations does AWS Trusted Advisor provide and which support plans include full access?","Only cost optimization recommendations for EC2 and S3 services, available to all AWS accounts regardless of support plan","Cost Optimization, Security, Performance, and Fault Tolerance recommendations. Full access requires Business or Enterprise support plans, Basic plan shows limited checks","Only security recommendations for IAM policies and access keys, available exclusively to Enterprise support plan customers","Only performance recommendations for database and application optimization, available to Developer and higher support plans with additional configuration required","B","AWS Trusted Advisor provides real-time best practice recommendations in: Cost Optimization, Security, Performance, Fault Tolerance. Full access requires Business or Enterprise support plans. Basic plan shows limited checks."
"What does AWS CloudTrail log and how does it help with security auditing and compliance?","Only user login attempts and authentication failures with IP addresses and timestamps for security monitoring","Who made API calls, what service was called, when it happened, where from (IP), result. Logs stored in S3. Essential for security auditing and compliance","Only resource configuration changes and modifications to security groups and network ACLs for change tracking purposes","Only billing and cost-related API calls with detailed pricing information and usage metrics for financial auditing and budget planning","B","AWS CloudTrail records AWS API calls for governance, compliance, and auditing. It logs: who made the call, what service was called, when it happened, where from (IP), result. Logs are stored in S3 buckets. Essential for security auditing and compliance."
"What are the key benefits of using AWS Organizations for managing multiple AWS accounts?","Only consolidated billing across all accounts with automatic cost allocation and budget alerts for each account","Consolidated billing, account-wide policies via Service Control Policies (SCPs), easier account creation and management, shared payment methods. Useful for enterprises managing multiple accounts","Only centralized IAM user management where users can access multiple accounts with single sign-on capabilities and unified permissions","Only automated backup and disaster recovery coordination across accounts with cross-region replication and centralized recovery procedures","B","AWS Organizations centralizes management of multiple AWS accounts. Benefits: consolidated billing, account-wide policies via Service Control Policies (SCPs), easier account creation and management, shared payment methods. Useful for enterprises managing multiple accounts."
"What are the five pillars of the AWS Well-Architected Framework?","Security, Cost, Performance, Reliability, and Scalability as the core principles for building cloud applications","Operational Excellence (run/monitor systems), Security (protect information), Reliability (recover from failures), Performance Efficiency (use resources efficiently), Cost Optimization (avoid unnecessary costs)","Availability, Durability, Scalability, Performance, and Cost as the fundamental requirements for all AWS architectures","Compliance, Governance, Monitoring, Automation, and Disaster Recovery as the essential components of enterprise cloud strategies","B","The AWS Well-Architected Framework has five pillars: Operational Excellence (run/monitor systems), Security (protect information), Reliability (recover from failures), Performance Efficiency (use resources efficiently), Cost Optimization (avoid unnecessary costs)."
"How does the AWS Shared Responsibility Model divide security responsibilities between AWS and customers?","AWS handles all security aspects including data encryption, access control, and network security, with customers only responsible for application code","AWS manages security OF the cloud (infrastructure, hardware, software, networking, facilities). Customer manages security IN the cloud (data, configurations, access management, encryption, network traffic)","Customers are responsible for all security including infrastructure, networking, and data protection, while AWS only provides the physical data centers","Security responsibilities are shared equally between AWS and customers with joint accountability for all security measures and compliance requirements","B","The AWS Shared Responsibility Model divides security responsibilities: AWS manages security OF the cloud (infrastructure, hardware, software, networking, facilities). Customer manages security IN the cloud (data, configurations, access management, encryption, network traffic)."
"What are the different AWS Support Plans and what features differentiate them?","Only Basic (free) and Enterprise (paid) plans with Enterprise providing 24/7 phone support and dedicated technical account manager","Basic (free - account/billing support), Developer ($29/month - business hours email), Business ($100/month - 24/7 support, TAM), Enterprise (custom - all Business features plus dedicated TAM, support API)","Only Developer and Business plans with both providing identical support levels but different pricing based on account usage and number of resources","All support plans provide the same level of technical support, with pricing differences based only on the number of support tickets submitted per month","B","AWS Support Plans: Basic (free) - account/billing support, documentation; Developer ($29/month) - business hours email support; Business ($100/month) - 24/7 phone/email/chat, technical account manager, Infrastructure Event Management; Enterprise (custom) - all Business features plus dedicated TAM, support API, better SLA."
"What is AWS Marketplace and what are its primary benefits?","A service catalog that lists only AWS-managed services and solutions with standardized pricing and deployment templates","A digital catalog with thousands of third-party software solutions offering quick deployment (click to launch), billing through AWS account, tested on AWS infrastructure, categories: AMIs, SaaS, container images, data products","A monitoring dashboard that tracks software usage across AWS accounts and provides recommendations for optimizing software licenses and costs","A certification program that validates third-party software for AWS compatibility and provides quality assurance testing for enterprise customers","B","AWS Marketplace is a digital catalog with thousands of third-party software solutions. Benefits: quick deployment (click to launch), billing through AWS account, tested on AWS infrastructure, categories: AMIs, SaaS, container images, data products."
"What are the main AWS pricing models and what are their key characteristics?","Only On-Demand pricing with pay-as-you-go model and no discounts available for any level of commitment","On-Demand (pay as you go, no commitment), Reserved Instances (1-3 year commitment, up to 75% discount), Savings Plans (flexible, compute discount), Spot Instances (bid for unused capacity, up to 90% discount, can be interrupted)","Only Reserved Instances with 1-year and 3-year terms providing fixed pricing regardless of actual usage or demand fluctuations","All pricing is the same across all services with standardized rates per hour regardless of instance type, region, or usage patterns","B","AWS Pricing Models: On-Demand (pay as you go, no commitment), Reserved Instances (1-3 year commitment, up to 75% discount), Savings Plans (flexible, compute discount), Spot Instances (bid for unused capacity, up to 90% discount, can be interrupted)."
"What are the advantages of using IAM Roles instead of access keys for AWS service permissions?","Access keys provide better security with automatic rotation and fine-grained permissions compared to IAM Roles","Automatic credential rotation, no key management, fine-grained permissions, used by EC2 instances, Lambda functions, cross-account access. More secure than access keys","IAM Roles require manual credential management and rotation, while access keys are automatically managed by AWS with built-in security features","Access keys and IAM Roles provide identical functionality with no security or management differences, making the choice purely based on personal preference","B","IAM Roles provide temporary credentials to AWS services or users without storing long-term access keys. Benefits: automatic credential rotation, no key management, fine-grained permissions, used by EC2 instances, Lambda functions, and cross-account access. More secure than access keys."
"How does AWS resource tagging help with cost tracking and resource management?","Tags are automatically applied by AWS based on resource type and cannot be customized or modified by users","Allows metadata labels on resources for cost allocation (track spending by project/department), automation (scripts can filter by tags), resource organization, compliance tracking. Tags are key-value pairs","Tags are used only for visual organization in the AWS Console and do not affect billing, automation, or any operational functionality","Resource tagging is available only for EC2 and S3 services with limited tag options that cannot be customized for organizational needs","B","AWS Resource Tagging allows metadata labels on resources. Benefits: cost allocation (track spending by project/department), automation (scripts can filter by tags), resource organization, compliance tracking. Tags are key-value pairs (e.g., Environment:Production, Project:WebApp)."
"How can you check AWS service limits and why do these limits exist?","Service limits are fixed and cannot be checked or modified, with all accounts having identical limits regardless of usage or requirements","Check limits in Service Quotas console, request increases via Support Center. Limits exist per region per account to protect from unexpected costs and ensure fair resource allocation","Service limits are automatically adjusted based on account usage and billing history, requiring no manual intervention or monitoring","All AWS services have unlimited capacity with no restrictions or limits, allowing unrestricted resource provisioning for all customers","B","AWS Service Limits (quotas) protect you from unexpected costs and ensure fair resource allocation. Default limits vary by service (e.g., EC2 instance limits, S3 bucket limits). Check limits in Service Quotas console, request increases via Support Center. Limits exist per region per account."
