Type,Number,Front,Back
Key Point,21,"Capacity Planning Tools: CloudWatch metrics (analyze usage patterns), Cost Explorer (forecast costs), AWS Compute Optimizer (recommends right-sizing), Trusted Advisor (cost optimization recommendations), analyze historical data, use Auto Scaling metrics, implement budgets and cost anomaly detection. Techniques: Review instance utilization, identify over/under-provisioned instances, forecast based on growth trends, plan for reserved capacity, use Savings Plans for flexibility.","What tools and techniques help with EC2 capacity planning and cost forecasting?"
Key Point,22,"Compliance and Governance: AWS Config for compliance monitoring (track configuration changes, compliance rules), AWS Organizations SCPs (account-level guardrails), proper resource tagging (for cost allocation and governance), CloudTrail for audit logs, IAM policies for access control, regular security audits, encryption requirements (EBS, data in transit), VPC flow logs for network monitoring. Ensure: meet regulatory requirements, proper access controls, audit trails, data protection.","How do you ensure EC2 deployments meet compliance requirements and governance policies?"
Key Point,23,"Application Modernization Approaches: Lift and Shift (migrate as-is to EC2), Replatform (optimize for cloud - use managed services), Refactor/Re-architect (break monolith into microservices, use containers, serverless). DevOps practices: Infrastructure as Code (CloudFormation/Terraform), CI/CD pipelines, automated testing, monitoring and logging. Migration strategy: assess application, identify dependencies, plan phased approach, test thoroughly, cutover gradually.","What approaches help modernize legacy applications running on EC2?"
Key Point,24,"Fault Tolerance Design: Deploy across multiple AZs (eliminate single AZ failure), use Load Balancers (distribute traffic, health checks), Auto Scaling (replace failed instances), implement health checks (at multiple levels - ELB, application, database), graceful degradation (reduce functionality vs complete failure), circuit breakers (prevent cascade failures), retry logic with exponential backoff, database replication (Multi-AZ RDS), backup and recovery procedures.","How do you design EC2 architectures to eliminate single points of failure?"
Key Point,25,"Data Transfer Cost Minimization: Use VPC Endpoints (avoid internet gateway for AWS services - free data transfer), CloudFront for static content (cache at edge, reduce origin requests), optimize cross-region transfers (only transfer required data), use Direct Connect for large volumes (reduced data transfer costs), compress data before transfer, use S3 transfer acceleration selectively, implement CDN for user-facing content, minimize cross-AZ data transfer (same region cheaper).","What strategies minimize data transfer costs in EC2 architectures?"
Key Point,26,"Observability Tools: CloudWatch (metrics, logs, alarms, dashboards), CloudWatch Logs Insights (query log data), AWS X-Ray (distributed tracing for applications), CloudTrail (API audit logs), VPC Flow Logs (network traffic analysis), Systems Manager (operational data), third-party tools (Datadog, New Relic). Practices: Centralized logging, structured logging, correlation IDs, custom metrics, proper alerting, dashboards for key metrics, log retention policies.","What observability tools and practices are essential for troubleshooting EC2-based applications?"
Key Point,27,"Resilience Patterns: Retry Logic (with exponential backoff and jitter to handle transient failures), Circuit Breaker (prevent calls to failing services), Bulkhead (isolate resources to prevent cascade failures), Health Checks (multiple levels - instance, application, dependency), Graceful Degradation (reduce functionality instead of complete failure), Timeout Configuration (prevent hanging requests), Queue-based Decoupling (use SQS/SNS for async processing), Database Connection Pooling.","What resilience patterns should be implemented in EC2-based applications?"
Key Point,28,"Network Segmentation Implementation: Create separate VPCs for different environments (dev, staging, prod), use subnets for tier separation (web, app, DB), Security Groups for instance-level control (least privilege between tiers), Network ACLs for subnet-level control (additional layer), VPC peering for controlled connectivity, VPC Endpoints for private AWS service access, route tables for traffic control, use different security groups per tier. Defense in depth: multiple layers of security controls.","How do you implement proper network segmentation for EC2 instances?"
Key Point,29,"Migration Strategies: Lift and Shift (migrate as-is, fastest, minimal changes), Replatform (optimize for cloud - use RDS instead of self-managed DB, use managed services), Refactor/Re-architect (microservices, containers, serverless - most effort, best cloud-native). Process: Assessment (AWS Application Discovery Service), planning, pilot migration, testing, cutover. Considerations: dependencies, data migration, network connectivity, rollback plan, testing procedures, minimize downtime.","What are the different migration strategies for moving workloads to EC2?"
Key Point,30,"Well-Architected Framework Application: Operational Excellence (automation, monitoring, documentation, change management), Security (encryption, access control, vulnerability management, incident response), Reliability (multi-AZ, health checks, backup, disaster recovery), Performance Efficiency (right-sizing, monitoring, trade-offs, selection), Cost Optimization (right-sizing, reserved capacity, eliminate waste, monitor costs). Apply each pillar specifically to EC2: right-size instances, use appropriate storage, implement monitoring, ensure security, plan for failures.","How do you apply the AWS Well-Architected Framework principles to EC2-based architectures?"
